Company_Gender,Total score,Satisfaction,Ways of working,Descision making,Relationships and Behaviour,Performance,Change Management,Density,Communication,General
All Groups,67, 69, 71, 62, 72, 61, 62, 68, 68, 68
0 - 6 months,71, 73, 73, 64, 74, 64, 67, 70, 73, 74
7 - 12 months,71, 75, 73, 65, 76, 65, 67, 76, 71, 72
1 - 2 years,67, 68, 70, 61, 72, 62, 64, 70, 68, 67
3 - 5 years,66, 68, 70, 62, 71, 59, 63, 66, 66, 67
6 - 10 years,68, 69, 75, 65, 75, 61, 62, 62, 68, 70
11 - 20 years,67, 68, 72, 63, 73, 61, 60, 69, 67, 66
20+ years,61, 64, 69, 48, 65, 53, 63, 51, 61, 64
